detection_id,symbol,reason,tier,pivot_dist,target_new,target_legacy,target_code,breakout_price
bump_and_run_reversal_bottoms:000109,BAX,ok,data_limited,56.0,69.74,65.88,65.88,61.95
bump_and_run_reversal_bottoms:000110,BAX,ok,data_limited,85.0,65.88,54.63,54.63,50.47
bump_and_run_reversal_bottoms:000111,BAX,ok,standard,196.0,65.88,53.58,53.58,39.63
bump_and_run_reversal_bottoms:000112,BBM,ok,data_limited,51.0,13.55,10.904,10.9,7.63
bump_and_run_reversal_bottoms:000113,BBM,ok,data_limited,182.0,15.126,11.211,11.21,6.26
bump_and_run_reversal_bottoms:000114,BBS,ok,data_limited,6.0,7.98,7.3,7.3,6.6
bump_and_run_reversal_bottoms:000115,BBS,no_pivot_fits_lead_in,data_limited,,,7.93,7.93,6.9
bump_and_run_reversal_bottoms:000116,BBS,no_pivot_fits_lead_in,data_limited,,,12.5,12.5,11.39
bump_and_run_reversal_bottoms:000117,BBT,ok,data_limited,89.0,11.24,6.4,6.4,5.45
bump_and_run_reversal_bottoms:000118,BCA,ok,standard,164.0,12.1,5.5,5.5,4.6
bump_and_run_reversal_bottoms:000119,BCA,ok,standard,232.0,22.7,13.0,13.0,11.1
bump_and_run_reversal_bottoms:000120,BCA,ok,premium,20.0,12.4,10.8,10.8,9.7
bump_and_run_reversal_bottoms:000121,BCC,no_pivot_fits_lead_in,standard,,,12.88,12.88,10.14
bump_and_run_reversal_bottoms:000122,BCC,ok,standard,79.0,7.55,6.07,6.07,5.58
bump_and_run_reversal_bottoms:000123,BCC,no_pivot_fits_lead_in,premium,,,27.34,27.34,21.11
bump_and_run_reversal_bottoms:000124,BCE,ok,premium,38.0,3.5,2.94,2.94,2.64
bump_and_run_reversal_bottoms:000125,BCG,ok,standard,50.0,4.217,3.859,3.859,3.195
bump_and_run_reversal_bottoms:000126,BCM,no_pivot_before_lead_start,premium,,,24.27,24.27,13.93
bump_and_run_reversal_bottoms:000127,BCM,ok,premium,27.0,57.07,53.99,53.99,47.03
bump_and_run_reversal_bottoms:000128,BCM,no_pivot_fits_lead_in,standard,,,96.47,96.47,75.36
bump_and_run_reversal_bottoms:000129,BCM,ok,premium,17.0,71.76,71.76,71.76,67.04
bump_and_run_reversal_bottoms:000130,BCP,no_pivot_before_lead_start,data_limited,,,7.868,7.87,5.34
bump_and_run_reversal_bottoms:000131,BCP,ok,data_limited,92.0,11.6,10.9,10.9,9.4
bump_and_run_reversal_bottoms:000132,BCP,no_pivot_fits_lead_in,data_limited,,,11.2,11.2,8.7
bump_and_run_reversal_bottoms:000133,BCR,ok,standard,31.0,10.144,6.183,6.183,5.507
bump_and_run_reversal_bottoms:000134,BCR,ok,standard,27.0,6.0,5.5,5.5,4.5
bump_and_run_reversal_bottoms:000135,BDG,ok,data_limited,37.0,12.47,9.66,9.66,8.22
bump_and_run_reversal_bottoms:000136,BDG,ok,data_limited,4.0,38.54,38.27,38.27,34.86
bump_and_run_reversal_bottoms:000137,BDT,ok,standard,41.0,12.1,9.4,9.4,7.4
bump_and_run_reversal_bottoms:000138,BFC,ok,standard,36.0,17.8,15.67,15.67,13.75
bump_and_run_reversal_bottoms:000139,BGE,ok,data_limited,187.0,12.1,6.6,6.6,4.7
bump_and_run_reversal_bottoms:000140,BHA,ok,standard,15.0,27.78,27.59,27.59,25.5
bump_and_run_reversal_bottoms:000141,BHC,no_pivot_fits_lead_in,data_limited,,,2.2,2.2,1.6
bump_and_run_reversal_bottoms:000142,BHC,ok,data_limited,196.0,2.5,1.8,1.8,1.4
bump_and_run_reversal_bottoms:000143,BHN,ok,data_limited,17.0,38.67,38.52,38.52,36.29
bump_and_run_reversal_bottoms:000144,BIC,ok,standard,34.0,13.94,11.93,11.93,10.39
bump_and_run_reversal_bottoms:000145,BIC,no_pivot_fits_lead_in,standard,,,15.6,15.6,13.31
bump_and_run_reversal_bottoms:000146,BID,ok,standard,7.0,7.135,7.135,7.62,6.31
bump_and_run_reversal_bottoms:000147,BID,ok,premium,14.0,30.198,26.641,28.46,24.13
bump_and_run_reversal_bottoms:000148,BID,no_pivot_fits_lead_in,standard,,,33.217,35.49,30.76
bump_and_run_reversal_bottoms:000149,BIG,cut_by_search_cap,loose,,,7.97,7.97,6.24
bump_and_run_reversal_bottoms:000150,BKC,ok,data_limited,6.0,6.02,6.02,6.02,4.7
bump_and_run_reversal_bottoms:000151,BKC,no_pivot_fits_lead_in,data_limited,,,3.19,3.19,2.88
bump_and_run_reversal_bottoms:000152,BKC,no_pivot_fits_lead_in,data_limited,,,2.84,2.84,2.29
bump_and_run_reversal_bottoms:000153,BKG,ok,premium,79.0,3.6,3.33,3.33,2.91
bump_and_run_reversal_bottoms:000154,BKG,ok,standard,56.0,3.56,3.2,3.2,2.68
bump_and_run_reversal_bottoms:000155,BLF,ok,data_limited,1.0,8.64,8.64,8.64,7.55
bump_and_run_reversal_bottoms:000156,BLF,no_pivot_fits_lead_in,loose,,,6.4,6.4,4.3
bump_and_run_reversal_bottoms:000157,BLI,no_pivot_fits_lead_in,data_limited,,,5.18,5.18,4.53
bump_and_run_reversal_bottoms:000158,BLI,cut_by_search_cap,standard,,,13.5,13.5,10.0
bump_and_run_reversal_bottoms:000159,BLT,ok,standard,59.0,33.37,29.96,29.96,23.52
bump_and_run_reversal_bottoms:000160,BMC,ok,standard,62.0,13.07,12.56,12.56,9.76
bump_and_run_reversal_bottoms:000161,BMC,ok,premium,5.0,25.06,22.36,22.36,18.12
bump_and_run_reversal_bottoms:000162,BMC,ok,premium,13.0,19.55,18.05,18.05,16.3
bump_and_run_reversal_bottoms:000163,BMF,ok,data_limited,164.0,12.5,6.04,6.04,5.25
bump_and_run_reversal_bottoms:000164,BMF,no_pivot_fits_lead_in,data_limited,,,7.66,7.66,7.38
bump_and_run_reversal_bottoms:000165,BMF,ok,data_limited,63.0,16.5,10.6,10.6,8.9
bump_and_run_reversal_bottoms:000166,BMI,no_pivot_fits_lead_in,standard,,,6.22,6.22,4.33
bump_and_run_reversal_bottoms:000167,BMI,no_pivot_fits_lead_in,standard,,,12.33,12.33,10.74
bump_and_run_reversal_bottoms:000168,BMI,ok,premium,7.0,32.58,32.58,32.58,26.54
bump_and_run_reversal_bottoms:000169,BMI,ok,data_limited,37.0,17.8,14.9,14.9,13.8
bump_and_run_reversal_bottoms:000170,BMJ,ok,data_limited,117.0,17.9,15.7,15.7,12.5
bump_and_run_reversal_bottoms:000171,BMP,ok,standard,158.0,43.99,33.32,33.32,24.46
bump_and_run_reversal_bottoms:000172,BMP,ok,premium,25.0,119.79,119.35,119.35,106.29
bump_and_run_reversal_bottoms:000173,BNA,ok,standard,42.0,11.6,9.7,9.7,8.4
bump_and_run_reversal_bottoms:000174,BNA,ok,standard,16.0,8.4,7.8,7.8,7.1
bump_and_run_reversal_bottoms:000175,BNA,ok,data_limited,4.0,8.7,8.7,8.7,6.4
bump_and_run_reversal_bottoms:000176,BPC,no_pivot_fits_lead_in,data_limited,,,6.596,6.596,5.488
bump_and_run_reversal_bottoms:000177,BPC,no_pivot_fits_lead_in,standard,,,15.935,15.935,12.476
bump_and_run_reversal_bottoms:000178,BQB,ok,data_limited,28.0,4.0,3.7,3.7,3.5
bump_and_run_reversal_bottoms:000179,BQB,ok,data_limited,15.0,5.2,4.9,4.9,4.1
bump_and_run_reversal_bottoms:000180,BRC,ok,data_limited,3.0,11.86,11.44,11.44,9.31
